Data,Luogo,X,Y,Numero_Predati,Specie_Predate,Osservazioni,Long,Lat
2024-06-11 00:00:00,Brione Verzasca,2700000,1130000,2,pecore,Un agnello segnalato come disperso Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.736909643113615,46.31396097530826
2024-06-09 00:00:00,Gordevio,2703000,1120000,3,capre,Un capretto segnalato come disperso Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.773641325744162,46.22356451200398
2024-05-22 00:00:00,Pollegio,2715000,1135000,1,lupo investito in autostrada,"Come da prassi, l'animale è stato trasportato al FIWI di Berna per le analisi del caso.",8.932842039393368,46.356530813357075
2024-05-14 00:00:00,Brione Verzasca,2701000,1129000,1,agnello,Una pecora segnalata come dispersa Animali non proteggibili In attesa di riscontro analisi DNA,8.749672990552664,46.30481700384177
2024-05-13 00:00:00,Carena,2279000,1112000,1,lupo,"Come da prassi, l'animale è stato trasportato al FIWI di Berna per le analisi del caso.",3.2870828460753283,46.08298294367452
2024-05-07 00:00:00,Breggia,2724000,1086000,1,pecora,Due capi segnalati come dispersi Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore,9.036779456633466,45.9142386791825
2024-05-05 00:00:00,Breggia,2722000,1087000,2,agnelli,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,9.01126843209569,45.923595809362745
2024-05-03 00:00:00,Monteggio,2705000,1095000,2,pecore,Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore,8.793961169059417,45.99840045003011
2024-05-02 00:00:00,Breggia,2722000,1087000,2,agnelli,Due ulteriori agnelli segnalati come dispersi Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore.,9.01126843209569,45.923595809362745
2024-04-27 00:00:00,Monteggio,2705000,1095000,2,pecore,Tre capi segnalati come dispersi Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.793961169059417,45.99840045003011
2024-04-21 00:00:00,Minusio,2270000,1116000,1,capra,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,3.1680943514594513,46.114567943815
2024-04-18 00:00:00,Breggia,2724000,1083000,1,vitello di yak di pochi giorni,Animali protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore,9.035992202041237,45.88725821219021
2024-04-16 00:00:00,Breggia,2723000,1085000,1,agnello ferito,Due capi segnalati come dispersi Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,9.023634421665685,45.90542766925429
2024-04-14 00:00:00,Mergoscia,2708000,1118000,1,pecora ferita,Un capo segnalato come disperso Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.837971309019881,46.20479225318449
2024-04-05 00:00:00,Savosa,2716000,1097000,1,daino,Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grane predatore.,8.936406529702866,46.01458912833312
2024-04-04 00:00:00,Savosa,2716000,1097000,1,daino,Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore.,8.936406529702866,46.01458912833312
2024-04-02 00:00:00,Breggia,2723000,1085000,1,agnello,Due capi segnalati come dispersi Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,9.023634421665685,45.90542766925429
2024-03-22 00:00:00,Savosa,2716000,1097000,4,daini,Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grane predatore.,8.936406529702866,46.01458912833312
2024-03-21 00:00:00,Lodrino,2719000,1127000,1,agnello,Animali protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore.,8.982755393277419,46.28388243246078
2024-03-08 00:00:00,Sobrio,2712000,1139000,1,vitello,Le analisi genetiche hanno riscontrato il coinvolgimento di un canide.,8.894836507867424,46.39301444882003
2024-02-18 00:00:00,Breggia,2723000,1085000,1,agnello,"4 agnelli dispersi Animali non protetti adeguatamente Riscontro DNA: ""lupo"".",9.023634421665685,45.90542766925429
2024-02-16 00:00:00,Avegno Gordevio,2702000,1120000,3,capre,"Animali non protetti adeguatamente Riscontro DNA: ""lupo"".",8.760682645928553,46.223716832664124
2024-01-16 00:00:00,Breggia,2726000,1083000,1,pecora,"Un animale segnalato come disperso Animali non protetti adeguatamente Riscontro DNA: ""non interpretabile"".",9.06174854710604,45.88688891962655
2024-01-04 00:00:00,Novaggio,2708000,1097000,2,daini,"Animali non protetti adeguatamente Riscontro DNA: ""volpe"".",8.8331352542312,46.015915674552836
2023-12-24 00:00:00,Acquarossa,2714000,1145000,1,capra,"Animali protetti adeguatamente Riscontro DNA: ""lupo"".",8.922308995251825,46.44664173595074
2023-12-21 00:00:00,Faido,2706000,1142000,1,capra,"Animali non protetti adeguatamente Riscontro DNA: ""lupo""..",8.817527977955455,46.42097212604128
2023-12-03 00:00:00,Maggia,2697000,1122000,1,alpaca,"Animali non protetti adeguatamente Riscontro DNA: ""volpe"".",8.696303683237513,46.24244505548802
2023-11-30 00:00:00,Cerentino,2685000,1129000,1,capra,"Animali non proteggibili Riscontro DNA: ""non interpretabile"".",8.542014949221555,46.30703142539452
2023-11-26 00:00:00,Comano,2717000,1099000,1,vitello,"Animali protetti adeguatamente Riscontro DNA: ""volpe"".",8.949812486665396,46.03240428132326
2023-11-21 00:00:00,Torricella,2714000,1103000,1,capra,"Sei animali segnalati come dispersi Animali non proteggibili Riscontro DNA: ""lupo"".",8.912044084623583,46.06889314569266
2023-11-20 00:00:00,Rivera,2714000,1108000,2,pecore,"Animali non protetti adeguatamente Riscontro DNA: ""lupo"".",8.913258688075414,46.113862913030054
